형태소,품사,문어_횟수,문어_비율,문어_파일,문어_의미,구어_횟수,구어_의미,구어_파일,구어_의미,전체_횟수,전체_비율,전체_파일,전체_의미
쓸데없,VA,273,0.00%,126,0,25,0.00%,13,0,298,0.00%,139,0
못나,VA,295,0.00%,131,0,0,0.00%,0,0,295,0.00%,131,0
고르,VA,289,0.00%,148,0,5,0.00%,4,0,294,0.00%,152,0
끝없,VA,292,0.00%,137,0,1,0.00%,1,0,293,0.00%,138,0
벅차,VA,288,0.00%,152,0,3,0.00%,3,0,291,0.00%,155,0
묘하,VA,283,0.00%,91,0,7,0.00%,4,0,290,0.00%,95,0
기막히,VA,289,0.00%,137,0,0,0.00%,0,0,289,0.00%,137,0
서럽,VA,283,0.00%,124,0,4,0.00%,3,0,287,0.00%,127,0
서글프,VA,282,0.00%,131,0,3,0.00%,2,0,285,0.00%,133,0
두텁,VA,282,0.00%,149,0,2,0.00%,1,0,284,0.00%,150,0
세차,VA,280,0.00%,120,0,2,0.00%,2,0,282,0.00%,122,0
값싸,VA,281,0.00%,134,0,1,0.00%,1,0,282,0.00%,135,0
그르,VA,282,0.00%,135,0,0,0.00%,0,0,282,0.00%,135,0
따갑,VA,277,0.00%,151,0,3,0.00%,3,0,280,0.00%,154,0
모질,VA,273,0.00%,122,0,1,0.00%,1,0,274,0.00%,123,0
가엾,VA,273,0.00%,104,0,0,0.00%,0,0,273,0.00%,104,0
잘,VA,261,0.00%,115,0,11,0.00%,6,0,272,0.00%,121,0
참되,VA,272,0.00%,70,0,0,0.00%,0,0,272,0.00%,70,0
허옇,VA,265,0.00%,90,0,6,0.00%,4,0,271,0.00%,94,0
밤늦,VA,266,0.00%,135,0,2,0.00%,2,0,268,0.00%,137,0
어떠하,VA,267,0.00%,29,0,0,0.00%,0,0,267,0.00%,29,0
엷,VA,257,0.00%,119,0,0,0.00%,0,0,257,0.00%,119,0
색다르,VA,253,0.00%,132,0,4,0.00%,4,0,257,0.00%,136,0
성하,VA,256,0.00%,99,3,0,0.00%,0,0,256,0.00%,99,3
동그랗,VA,246,0.00%,105,0,6,0.00%,5,0,252,0.00%,110,0
비좁,VA,248,0.00%,109,0,0,0.00%,0,0,248,0.00%,109,0
게으르,VA,236,0.00%,125,0,12,0.00%,6,0,248,0.00%,131,0
메마르,VA,246,0.00%,123,0,1,0.00%,1,0,247,0.00%,124,0
맵,VA,225,0.00%,106,0,18,0.00%,9,0,243,0.00%,115,0
벌겋,VA,240,0.00%,102,0,2,0.00%,2,0,242,0.00%,104,0
쑥스럽,VA,228,0.00%,108,0,11,0.00%,7,0,239,0.00%,115,0
엄하,VA,222,0.00%,116,0,14,0.00%,10,0,236,0.00%,126,0
어이없,VA,221,0.00%,116,0,14,0.00%,6,0,235,0.00%,122,0
쓰,VA,228,0.00%,112,1,5,0.00%,3,0,233,0.00%,115,1
헛되,VA,227,0.00%,120,0,4,0.00%,3,0,231,0.00%,123,0
가느다랗,VA,229,0.00%,89,0,0,0.00%,0,0,229,0.00%,89,0
익,VA,226,0.00%,113,0,2,0.00%,1,0,228,0.00%,114,0
너그럽,VA,227,0.00%,116,0,1,0.00%,1,0,228,0.00%,117,0
마지못하,VA,228,0.00%,128,0,0,0.00%,0,0,228,0.00%,128,0
가파르,VA,224,0.00%,120,0,1,0.00%,1,0,225,0.00%,121,0
어설프,VA,208,0.00%,121,0,17,0.00%,12,0,225,0.00%,133,0
서투르,VA,225,0.00%,116,0,0,0.00%,0,0,225,0.00%,116,0
하찮,VA,217,0.00%,121,0,2,0.00%,2,0,219,0.00%,123,0
시리,VA,210,0.00%,99,0,5,0.00%,3,0,215,0.00%,102,0
매끄럽,VA,204,0.00%,112,0,9,0.00%,5,0,213,0.00%,117,0
우스꽝스럽,VA,212,0.00%,108,0,0,0.00%,0,0,212,0.00%,108,0
고달프,VA,207,0.00%,106,0,5,0.00%,4,0,212,0.00%,110,0
터무니없,VA,206,0.00%,103,0,1,0.00%,1,0,207,0.00%,104,0
서툴,VA,206,0.00%,114,0,0,0.00%,0,0,206,0.00%,114,0
뻔하,VA,183,0.00%,92,1,22,0.00%,15,0,205,0.00%,107,1
값지,VA,203,0.00%,123,0,1,0.00%,1,0,204,0.00%,124,0
멋있,VA,135,0.00%,61,0,69,0.00%,39,0,204,0.00%,100,0
얕,VA,203,0.00%,111,0,0,0.00%,0,0,203,0.00%,111,0
잘생기,VA,191,0.00%,73,0,11,0.00%,8,0,202,0.00%,81,0
질기,VA,198,0.00%,116,0,2,0.00%,2,0,200,0.00%,118,0
곧,VA,200,0.00%,98,1,0,0.00%,0,0,200,0.00%,98,1
멍하,VA,200,0.00%,97,0,0,0.00%,0,0,200,0.00%,97,0
그지없,VA,198,0.00%,108,0,0,0.00%,0,0,198,0.00%,108,0
새까맣,VA,194,0.00%,90,0,3,0.00%,3,0,197,0.00%,93,0
연하,VA,196,0.00%,73,0,1,0.00%,1,0,197,0.00%,74,0
추하,VA,188,0.00%,105,2,4,0.00%,3,0,192,0.00%,108,2
틀리,VA,7,0.00%,7,0,184,0.01%,63,0,191,0.00%,70,0
억세,VA,188,0.00%,89,0,0,0.00%,0,0,188,0.00%,89,0
안되,VA,187,0.00%,55,0,0,0.00%,0,0,187,0.00%,55,0
여리,VA,184,0.00%,96,0,3,0.00%,2,0,187,0.00%,98,0
싱겁,VA,176,0.00%,98,0,8,0.00%,4,0,184,0.00%,102,0
쓰라리,VA,182,0.00%,113,0,2,0.00%,2,0,184,0.00%,115,0
어처구니없,VA,183,0.00%,93,0,1,0.00%,1,0,184,0.00%,94,0
역겹,VA,179,0.00%,92,0,3,0.00%,2,0,182,0.00%,94,0
재미없,VA,121,0.00%,72,0,59,0.00%,30,0,180,0.00%,102,0
저리,VA,178,0.00%,91,0,1,0.00%,1,0,179,0.00%,92,0
수줍,VA,177,0.00%,90,0,0,0.00%,0,0,177,0.00%,90,0
머지않,VA,173,0.00%,100,0,0,0.00%,0,0,173,0.00%,100,0
뿌옇,VA,169,0.00%,80,0,4,0.00%,4,0,173,0.00%,84,0
천하,VA,168,0.00%,82,0,3,0.00%,3,0,171,0.00%,85,0
징그럽,VA,161,0.00%,75,0,7,0.00%,5,0,168,0.00%,80,0
순하,VA,164,0.00%,79,0,4,0.00%,3,0,168,0.00%,82,0
흉하,VA,163,0.00%,83,0,1,0.00%,1,0,164,0.00%,84,0
안쓰럽,VA,156,0.00%,87,0,7,0.00%,6,0,163,0.00%,93,0
야하,VA,124,0.00%,48,1,39,0.00%,10,0,163,0.00%,58,1
빼어나,VA,161,0.00%,90,0,2,0.00%,2,0,163,0.00%,92,0
속상하,VA,145,0.00%,73,0,16,0.00%,10,0,161,0.00%,83,0
유별나,VA,155,0.00%,94,0,5,0.00%,5,0,160,0.00%,99,0
매섭,VA,155,0.00%,90,0,3,0.00%,3,0,158,0.00%,93,0
보잘것없,VA,157,0.00%,97,0,0,0.00%,0,0,157,0.00%,97,0
무덥,VA,156,0.00%,94,0,1,0.00%,1,0,157,0.00%,95,0
못생기,VA,142,0.00%,77,0,15,0.00%,5,0,157,0.00%,82,0
못되,VA,151,0.00%,74,0,5,0.00%,5,0,156,0.00%,79,0
소용없,VA,147,0.00%,94,0,8,0.00%,6,0,155,0.00%,100,0
시퍼렇,VA,152,0.00%,79,0,1,0.00%,1,0,153,0.00%,80,0
기다랗,VA,153,0.00%,79,0,0,0.00%,0,0,153,0.00%,79,0
부질없,VA,152,0.00%,86,0,0,0.00%,0,0,152,0.00%,86,0
짓궂,VA,151,0.00%,83,0,1,0.00%,1,0,152,0.00%,84,0
목마르,VA,149,0.00%,88,0,2,0.00%,1,0,151,0.00%,89,0
언짢,VA,149,0.00%,82,0,1,0.00%,1,0,150,0.00%,83,0
기나길,VA,150,0.00%,85,0,0,0.00%,0,0,150,0.00%,85,0
잽싸,VA,144,0.00%,70,0,4,0.00%,4,0,148,0.00%,74,0
형편없,VA,147,0.00%,89,0,0,0.00%,0,0,147,0.00%,89,0
값비싸,VA,147,0.00%,89,0,0,0.00%,0,0,147,0.00%,89,0
흥겹,VA,147,0.00%,83,0,0,0.00%,0,0,147,0.00%,83,0
새파랗,VA,145,0.00%,87,0,1,0.00%,1,0,146,0.00%,88,0
더디,VA,144,0.00%,97,0,1,0.00%,1,0,145,0.00%,98,0
기름지,VA,140,0.00%,80,0,3,0.00%,1,0,143,0.00%,81,0
호되,VA,141,0.00%,92,0,0,0.00%,0,0,141,0.00%,92,0
적잖,VA,140,0.00%,85,0,0,0.00%,0,0,140,0.00%,85,0
족하,VA,137,0.00%,89,0,2,0.00%,2,0,139,0.00%,91,0
둥그렇,VA,137,0.00%,73,0,1,0.00%,1,0,138,0.00%,74,0
눈물겹,VA,137,0.00%,85,0,0,0.00%,0,0,137,0.00%,85,0
둔하,VA,132,0.00%,79,0,4,0.00%,3,0,136,0.00%,82,0
부시,VA,135,0.00%,76,0,0,0.00%,0,0,135,0.00%,76,0
재빠르,VA,134,0.00%,84,0,1,0.00%,1,0,135,0.00%,85,0
줄기차,VA,133,0.00%,93,0,0,0.00%,0,0,133,0.00%,93,0
딱하,VA,133,0.00%,60,0,0,0.00%,0,0,133,0.00%,60,0
배부르,VA,115,0.00%,82,0,18,0.00%,11,0,133,0.00%,93,0
싱그럽,VA,131,0.00%,67,0,0,0.00%,0,0,131,0.00%,67,0
겹,VA,124,0.00%,90,0,1,0.00%,1,0,125,0.00%,91,0
별나,VA,123,0.00%,69,0,2,0.00%,1,0,125,0.00%,70,0
쓰리,VA,122,0.00%,66,0,2,0.00%,2,0,124,0.00%,68,0
야무지,VA,122,0.00%,72,0,1,0.00%,1,0,123,0.00%,73,0
새하얗,VA,122,0.00%,70,0,0,0.00%,0,0,122,0.00%,70,0
어질,VA,121,0.00%,57,0,0,0.00%,0,0,121,0.00%,57,0
괜하,VA,118,0.00%,80,0,2,0.00%,2,0,120,0.00%,82,0
한결같,VA,119,0.00%,85,0,0,0.00%,0,0,119,0.00%,85,0
활기차,VA,114,0.00%,82,0,4,0.00%,2,0,118,0.00%,84,0
궂,VA,117,0.00%,72,0,1,0.00%,1,0,118,0.00%,73,0
아리,VA,118,0.00%,59,0,0,0.00%,0,0,118,0.00%,59,0
가냘프,VA,116,0.00%,70,0,1,0.00%,1,0,117,0.00%,71,0
건방지,VA,115,0.00%,71,0,2,0.00%,2,0,117,0.00%,73,0
짜,VA,104,0.00%,64,0,13,0.00%,12,0,117,0.00%,76,0
열띠,VA,116,0.00%,78,0,1,0.00%,1,0,117,0.00%,79,0
독하,VA,81,0.00%,43,0,36,0.00%,12,0,117,0.00%,55,0
선하,VA,116,0.00%,68,2,1,0.00%,1,0,117,0.00%,69,2
크나크,VA,116,0.00%,68,0,0,0.00%,0,0,116,0.00%,68,0
훤하,VA,115,0.00%,79,0,0,0.00%,0,0,115,0.00%,79,0
시뻘겋,VA,114,0.00%,60,0,1,0.00%,1,0,115,0.00%,61,0
탁하,VA,110,0.00%,62,0,4,0.00%,4,0,114,0.00%,66,0
무디,VA,113,0.00%,78,0,0,0.00%,0,0,113,0.00%,78,0
드넓,VA,113,0.00%,60,0,0,0.00%,0,0,113,0.00%,60,0
막다르,VA,112,0.00%,70,0,0,0.00%,0,0,112,0.00%,70,0
우렁차,VA,108,0.00%,75,0,4,0.00%,1,0,112,0.00%,76,0
능하,VA,108,0.00%,77,0,0,0.00%,0,0,108,0.00%,77,0
철없,VA,105,0.00%,73,0,2,0.00%,1,0,107,0.00%,74,0
뽀얗,VA,104,0.00%,66,0,2,0.00%,2,0,106,0.00%,68,0
번거롭,VA,103,0.00%,61,0,3,0.00%,3,0,106,0.00%,64,0
뼈저리,VA,92,0.00%,74,0,13,0.00%,4,0,105,0.00%,78,0
알차,VA,105,0.00%,77,0,0,0.00%,0,0,105,0.00%,77,0
해롭,VA,102,0.00%,36,0,3,0.00%,2,0,105,0.00%,38,0
쓸모없,VA,102,0.00%,76,0,2,0.00%,2,0,104,0.00%,78,0
성가시,VA,104,0.00%,64,0,0,0.00%,0,0,104,0.00%,64,0
심심찮,VA,101,0.00%,69,0,2,0.00%,2,0,103,0.00%,71,0
정겹,VA,103,0.00%,68,0,0,0.00%,0,0,103,0.00%,68,0
애처롭,VA,103,0.00%,67,0,0,0.00%,0,0,103,0.00%,67,0
검붉,VA,101,0.00%,52,0,1,0.00%,1,0,102,0.00%,53,0
당하,VA,102,0.00%,69,0,0,0.00%,0,0,102,0.00%,69,0
퍼렇,VA,101,0.00%,65,0,0,0.00%,0,0,101,0.00%,65,0
굽,VA,101,0.00%,60,0,0,0.00%,0,0,101,0.00%,60,0
분하,VA,100,0.00%,46,0,1,0.00%,1,0,101,0.00%,47,0
관계없,VA,93,0.00%,66,0,7,0.00%,5,0,100,0.00%,71,0
가렵,VA,97,0.00%,54,0,3,0.00%,1,0,100,0.00%,55,0
미끄럽,VA,97,0.00%,58,0,3,0.00%,3,0,100,0.00%,61,0
머나멀,VA,99,0.00%,50,0,0,0.00%,0,0,99,0.00%,50,0
시,VA,93,0.00%,51,3,5,0.00%,3,0,98,0.00%,54,3
네모나,VA,97,0.00%,52,0,1,0.00%,1,0,98,0.00%,53,0
진정하,VA,97,0.00%,23,0,0,0.00%,0,0,97,0.00%,23,0
